Weigh_Boat_ID,Sample ID,River,Cyano,Field Date,Tin Weight (mg),Wet sample + tin (mg),Date in drying oven,Date out  of drying oven,Dry sample + tin (mg),Date in furnace,Time in furnace,Date out of furnace,Ashed sample + tin (mg),Notes,Dry mass (mg),AFDM (mg),%OM
83,Eel-4S,South Fork Eel,Microcoleus,9/14/24,1299.5,1939.5,9/23/24,9/24/24,1333.5,9/25/24,,10/1/24,1310.1,JLD: No time in furnace,34,10.6,0.6882
84,South,Scott,Microcoleus,9/18/24,1299.7,1643.1,9/23/24,9/24/24,1313.8,9/25/24,,10/1/24,1300.6,JLD: No time in furnace,14.1,0.9,0.9362
85,Red-1,Scott,Microcoleus,9/18/24,1290.2,2205.4,9/23/24,9/24/24,1349.8,9/25/24,,10/1/24,1318.3,JLD: No time in furnace,59.6,28.1,0.5285
86,Etna,Scott,Microcoleus,9/18/24,1298.4,2234.4,9/23/24,9/24/24,1605.9,9/25/24,,10/1/24,1560.5,JLD: No time in furnace,307.5,262.1,0.1476
87,Black-2,Scott,Microcoleus,9/18/24,1302.2,2249.4,9/23/24,9/24/24,1408,9/25/24,,10/1/24,1372.7,JLD: No time in furnace,105.8,70.5,0.3336
88,Klam-6,Scott,Microcoleus,9/19/24,1288.4,1649.4,9/23/24,9/24/24,1322.1,9/25/24,,10/1/24,1308.7,JLD: No time in furnace,33.7,20.3,0.3976
89,Mill,Scott,Microcoleus,9/19/24,1299.8,2142.5,9/23/24,9/24/24,1445.6,9/25/24,,10/1/24,1401.3,JLD: No time in furnace,145.8,101.5,0.3038
90,Town-5,Scott,Microcoleus,9/19/24,1302.7,2013.1,9/23/24,9/24/24,1358.9,9/25/24,,10/1/24,1319.4,JLD: No time in furnace,56.2,16.7,0.7028
91,Kelsey,Scott,Microcoleus,9/19/24,1301.9,2125.8,9/23/24,9/24/24,1680.3,9/25/24,,10/1/24,1649.4,JLD: No time in furnace,378.4,347.5,0.0817
92,Canyon,Scott,Microcoleus,9/19/24,1293.4,2388.7,9/23/24,9/24/24,1501.7,9/25/24,,10/1/24,1447.9,JLD: No time in furnace,208.3,154.5,0.2583
93,Jones-4,Scott,Microcoleus,9/20/24,1294,3309.7,9/23/24,9/24/24,1320.1,9/25/24,,10/1/24,1312.3,JLD: No time in furnace,26.1,18.3,0.2989
94,Shack-UP,Scott,Microcoleus,9/20/24,1296.1,1684.3,9/23/24,9/24/24,1322.4,9/25/24,,10/1/24,1304.2,JLD: No time in furnace,26.3,8.1,0.692
95,Kid-down,Scott,Microcoleus,9/20/24,1299.3,2607,9/23/24,9/24/24,1470.2,9/25/24,,10/1/24,1439.1,JLD: No time in furnace,170.9,139.8,0.182
96,Eel-4S,South Fork Eel,Microcoleus,9/27/24,1298.1,1811.9,10/22/24,10/24/24,1354.4,10/24/24,,10/28/24,1324.7,JLD: No time in furnace,56.3,26.6,0.5275
97,Eel-BUG,South Fork Eel,Microcoleus,9/27/24,1322.5,1478.3,10/22/24,10/24/24,1334.8,10/24/24,,10/28/24,1321.2,JLD: No time in furnace,12.3,-1.3,1.1057
98,Eel-2UP,South Fork Eel,Microcoleus,9/27/24,1304.5,1383,10/22/24,10/24/24,1314.6,10/24/24,,10/28/24,1308.8,JLD: No time in furnace,10.1,4.3,0.5743
99,Eel-3UP,South Fork Eel,Anabaena,9/27/24,1301.1,1412.3,10/22/24,10/24/24,1305.6,10/24/24,,10/28/24,1304.5,JLD: No time in furnace,4.5,3.4,0.2444
100,Eel-4S,South Fork Eel,Microcoleus,10/10/24,1300.9,1856.2,10/22/24,10/24/24,1331.6,10/24/24,,10/28/24,1311.7,JLD: No time in furnace,30.7,10.8,0.6482
101,Eel-BUG,South Fork Eel,Microcoleus,10/10/24,1294.4,2326.8,10/22/24,10/24/24,1368.2,10/24/24,,10/28/24,1321.9,JLD: No time in furnace,73.8,27.5,0.6274
102,Eel-3UP,South Fork Eel,Anabaena,10/10/24,1291.7,2035.8,10/22/24,10/24/24,1322.7,10/24/24,,10/28/24,1315.3,JLD: No time in furnace,31,23.6,0.2387
103,Eel-2UP,South Fork Eel,Anabaena,10/10/24,1301.5,1981.7,10/22/24,10/24/24,1300.1,10/24/24,,10/28/24,1298.1,JLD: No time in furnace,-1.4,-3.4,-1.4286
104,Town,Scott,Microcoleus,10/15/24,1301.8,1755.3,10/22/24,10/24/24,1323.9,10/24/24,,10/28/24,1309.9,JLD: No time in furnace,22.1,8.1,0.6335
105,Kelsey,Scott,Microcoleus,10/15/24,1294.4,1522.6,10/22/24,10/24/24,1325.7,10/24/24,,10/28/24,1321.2,JLD: No time in furnace,31.3,26.8,0.1438
106,Canyon,Scott,Microcoleus,10/15/24,1301.4,2010.2,10/22/24,10/24/24,1364.1,10/24/24,,10/28/24,1345.9,JLD: No time in furnace,62.7,44.5,0.2903
107,Jones,Scott,Microcoleus,10/15/24,1308.3,1945,10/22/24,10/24/24,1320.6,10/24/24,,10/28/24,1317.3,JLD: No time in furnace,12.3,9,0.2683
108,South,Scott,Microcoleus,10/16/24,1300.9,1790.6,10/22/24,10/24/24,1317.9,10/24/24,,10/28/24,1307.1,JLD: No time in furnace,17,6.2,0.6353
109,Etna,Scott,Microcoleus,10/16/24,1300.4,1718.5,10/22/24,10/24/24,1441.7,10/24/24,,10/28/24,1428.8,JLD: No time in furnace,141.3,128.4,0.0913
110,Red,Scott,Microcoleus,10/16/24,1302.5,2017.5,10/22/24,10/24/24,1385.8,10/24/24,,10/28/24,1357.9,JLD: No time in furnace,83.3,55.4,0.3349
111,Black,Scott,Microcoleus,10/16/24,1304.5,2316.4,10/22/24,10/24/24,1390,10/24/24,,10/28/24,1350.5,JLD: No time in furnace,85.5,46,0.462
112,Kid,Scott,Microcoleus,10/17/24,1303.9,3133.3,10/22/24,10/24/24,1394.7,10/24/24,,10/28/24,1344.1,JLD: No time in furnace,90.8,40.2,0.5573
113,Shack,Scott,Microcoleus,10/17/24,1306.3,1531.6,10/22/24,10/24/24,1314.1,10/24/24,,10/28/24,1307.9,JLD: No time in furnace,7.8,1.6,0.7949
114,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,
